,image name,point type,point #,x,y
0,PreMap/IMG_8460.JPG,xeno,1,328,303
1,PreMap/IMG_4851.JPG,xeno,1,512,251
2,PreMap/IMG_4851.JPG,xeno,2,514,258
3,PreMap/IMG_2561.JPG,xeno,1,652,265
4,PreMap/IMG_2561.JPG,xeno,2,650,261
5,PreMap/IMG_2212.JPG,xeno,1,493,317
6,PreMap/IMG_2212.JPG,xeno,2,492,313
7,PreMap/IMG_1692.JPG,xeno,1,437,75
8,PreMap/IMG_1692.JPG,xeno,2,434,89
9,PreMap/IMG_2358.JPG,xeno,1,549,317
10,PreMap/IMG_4846.JPG,xeno,1,534,243
11,PreMap/IMG_4846.JPG,xeno,2,531,239
12,PreMap/IMG_1080.JPG,xeno,1,541,252
13,PreMap/IMG_4847.JPG,xeno,1,490,265
14,PreMap/IMG_4847.JPG,xeno,2,491,261
15,PreMap/IMG_2566.JPG,xeno,1,452,224
16,PreMap/IMG_2566.JPG,xeno,2,457,220
17,PreMap/IMG_4842.JPG,xeno,1,525,221
18,PreMap/IMG_4842.JPG,xeno,2,518,218
19,PreMap/IMG_7742.JPG,xeno,1,405,302
20,PreMap/IMG_7742.JPG,xeno,2,408,301
21,PreMap/IMG_2571.JPG,xeno,1,522,241
22,PreMap/IMG_2890.JPG,xeno,1,391,312
23,PreMap/IMG_2270.JPG,xeno,1,453,306
24,PreMap/IMG_2270.JPG,xeno,2,451,302
25,PreMap/IMG_1988.JPG,xeno,1,596,626
26,PreMap/IMG_8416.JPG,xeno,1,462,242
27,PreMap/IMG_2273.JPG,xeno,1,684,268
28,PreMap/IMG_2273.JPG,xeno,2,684,263
29,PreMap/IMG_2312.JPG,xeno,1,565,298
30,PreMap/IMG_2276.JPG,xeno,1,449,231
31,PreMap/IMG_2277.JPG,xeno,1,546,224
32,PreMap/IMG_2303.JPG,xeno,1,613,272
33,PreMap/IMG_2465.JPG,xeno,1,502,232
34,PreMap/IMG_2513.JPG,xeno,1,585,188
35,PreMap/IMG_2566 copy.JPG,xeno,1,519,163
36,PreMap/IMG_2466.JPG,xeno,1,123,622
37,PreMap/IMG_2466.JPG,xeno,2,478,168
38,PreMap/IMG_7913.JPG,xeno,1,450,245
39,PreMap/IMG_8387.JPG,xeno,1,675,227
40,PreMap/IMG_8387.JPG,xeno,2,678,220
41,PreMap/IMG_8387.JPG,xeno,3,685,222
42,PreMap/IMG_2641.JPG,xeno,1,379,237
43,PreMap/IMG_2480.JPG,xeno,1,467,179
44,PreMap/IMG_2480.JPG,xeno,2,471,176
45,PreMap/IMG_2480.JPG,xeno,3,474,176
46,PreMap/IMG_2480.JPG,xeno,4,480,173
47,PreMap/IMG_4768.JPG,xeno,1,478,247
48,PreMap/IMG_4768.JPG,xeno,2,477,237
49,PreMap/IMG_4768.JPG,xeno,3,479,242
50,PreMap/IMG_4768.JPG,xeno,4,869,-29
51,PreMap/IMG_1994.JPG,xeno,1,412,136
52,PreMap/IMG_2906.JPG,xeno,1,533,235
